"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the Types of Trees","0","0","1","0","0"
"","The user test the functionalities of the Queue page in the DS Algo application","User checks the functionality of the Queue Operations page","0","0","1","0","0"
"","Verifying the Array functionalities in the DS Algo app","The user test the Practice sections of the Array page","0","0","8","0","0"
"","","","0","1","41","0","0"
"","The user test the functionalities of the Queue page in the DS Algo application","User checks the functionality of the Implementation of queue in Python page","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the Operations in stack page","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the ImplementationofBST in Trees","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the Implementaion in stack page","0","0","1","0","0"
"","Log in to the DS-Algo app","User is trying to login with some fields empty","0","0","3","0","0"
"","The user test the functionalities of the Graph page in the DS Algo application","User checks the functionality of the Graph","0","0","1","0","0"
"","The user test the functionalities of the Linked List page in the DS Algo application","User checks the functionality of the Deletion of Linked list page","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the ApplicationsofBinaryTrees in Trees","0","0","1","0","0"
"","Verifying the Array functionalities in the DS Algo app","User checks functionalities of the Arrays in Python","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the BinarySearchTrees in Trees","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the Applications in stack page","0","0","1","0","0"
"","The user test the functionalities of the Queue page in the DS Algo application","User checks the functionality of the Implementation using collection.deque page","0","0","1","0","0"
"","The user test the functionalities of the Linked List page in the DS Algo application","User checks the functionality of the Types of Linked list page","0","0","1","0","0"
"","The user test the functionalities of the Linked List page in the DS Algo application","User checks the functionality of the Insertion of Linked list page","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the Terminologies link in Tree","0","0","1","0","0"
"","Verifying the Array functionalities in the DS Algo app","The user checks the functionalities of the Basic operation list page","0","0","2","0","0"
"","Log in to the DS-Algo app","User is trying to login with invalid credentials","0","0","2","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the Overview of Trees","0","0","1","0","0"
"","The user test the functionalities of the Queue page in the DS Algo application","User checks the functionality of the Implementation using array page","0","0","1","0","0"
"","Verifying the Array functionalities in the DS Algo app","The user checks the functionalities of the Appplications of Array page","0","0","2","0","0"
"","The user test the functionalities of the Graph page in the DS Algo application","User checks the functionality of the GraphRepresentations","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the BinaryTreeTraversals in Trees","0","0","1","0","0"
"","The user test the functionalities of the Linked List page in the DS Algo application","User checks the functionality of the creating linked list page","0","0","1","0","0"
"","Verifying the Array functionalities in the DS Algo app","User checks the functionalities on the Arrays using list","0","0","1","0","0"
"","Checking the getstarted button for all the modules","The user is able to navigate to the home page","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the TypesofBinaryTrees in Trees","0","0","1","0","0"
"","Log in to the DS-Algo app","User is logging in with valid credentials","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the TreeTraversals in Trees","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the TraversalsIllustration in Trees","0","0","1","0","0"
"","The user test the functionalities of the Linked List page in the DS Algo application","User checks the Introduction functionality of the Linked list Intro page","0","0","1","0","0"
"","Registering to the DS-Algo app","Register with valid credentials and user is successfully registered","0","1","0","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the ImplementationofBinaryTrees in Trees","0","0","1","0","0"
"","The user test the functionalities of the Linked List page in the DS Algo application","User checks the functionality of the Implemented Linked list in python page","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the ImplementationinPython in Trees","0","0","1","0","0"
"","Registering to the DS-Algo app","Register with invalid credentials to check the error displayed","0","0","3","0","0"
"","The user test the functionalities of the Linked List page in the DS Algo application","User checks the functionality of the Traveral of Linked list page","0","0","1","0","0"
"","The iser in navigating to the Data Introduction page","User navigates to the Data Introduction page","0","0","1","0","0"
"","The user test the functionalities of the Stack page in the DS Algo application","User checks the functionality of the BinaryTrees in Trees","0","0","1","0","0"
"","The iser in navigating to the Data Introduction page","Verifying data structure text box editor with invalid python code","0","0","1","0","0"
