"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 14:53:01 PST 2024","Thu Jan 25 14:53:10 PST 2024","8461","","The user test the functionalities of the Stack page in the DS Algo application","","User checks the functionality of the Types of Trees","","User checks the functionality of the Types of Trees",""
"passed","Thu Jan 25 14:52:04 PST 2024","Thu Jan 25 14:52:12 PST 2024","7761","","The user test the functionalities of the Queue page in the DS Algo application","","User checks the functionality of the Queue Operations page","","User checks the functionality of the Queue Operations page",""
"passed","Thu Jan 25 14:48:58 PST 2024","Thu Jan 25 14:49:09 PST 2024","11172","","Verifying the Array functionalities in the DS Algo app","","The user test the Practice sections of the Array page","","The user test the Practice sections of the Array page",""
"passed","Thu Jan 25 22:49:22 PST 2024","Thu Jan 25 22:49:28 PST 2024","5624","Surefire suite","Surefire test","test_Runner.TestRunner","test_Runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jan 25 14:51:40 PST 2024","Thu Jan 25 14:51:48 PST 2024","8007","","The user test the functionalities of the Queue page in the DS Algo application","","User checks the functionality of the Implementation of queue in Python page","","User checks the functionality of the Implementation of queue in Python page",""
"broken","Thu Jan 25 22:25:15 PST 2024","Thu Jan 25 22:25:15 PST 2024","14","Surefire suite","Surefire test","test_Runner.TestRunner","test_Runner.TestRunner","setUpClass","setUpClass",""
"passed","Thu Jan 25 14:52:22 PST 2024","Thu Jan 25 14:52:30 PST 2024","7538","","The user test the functionalities of the Stack page in the DS Algo application","","User checks the functionality of the Operations in stack page","","User checks the functionality of the Operations in stack page",""
"passed","Thu Jan 25 22:52:46 PST 2024","Thu Jan 25 22:52:52 PST 2024","6294","Surefire suite","Surefire test","test_Runner.TestRunner","test_Runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jan 25 22:52:39 PST 2024","Thu Jan 25 22:52:46 PST 2024","6811","Surefire suite","Surefire test","test_Runner.TestRunner","test_Runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Thu Jan 25 22:50:51 PST 2024","Thu Jan 25 22:50:54 PST 2024","3481","Surefire suite","Surefire test","test_Runner.TestRunner","test_Runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Jan 23 10:55:29 PST 2024","Tue Jan 23 10:55:41 PST 2024","11913","","Verifying the Array functionalities in the DS Algo app","","The user test the Practice sections of the Array page","","The user test the Practice sections of the Array page",""
